name,institution,course_id
health behavior change: from evidence to action,yale university,health-behavior-change
ordered data structures,university of illinois at urbana-champaign,cs-fundamentals-2
mindshift: break through obstacles to learning and discover your hidden potential,mcmaster university,mindshift
programming fundamentals,duke university,programming-fundamentals
understanding financial markets,university of geneva,understanding-financial-markets
in the studio: postwar abstract painting,the museum of modern art,painting
drug commercialization,university of california san diego,drug-commercialization
introduction to software product management,university of alberta,introduction-to-software-product-management
"social norms, social change i",unicef,norms
excel skills for business: intermediate ii,macquarie university,excel-intermediate-2
aboriginal worldviews and education,university of toronto,aboriginal-education
"information systems auditing, controls and assurance",the hong kong university of science and technology,information-systems-audit
six sigma principles,university system of georgia,six-sigma-principles
business writing,university of colorado boulder,writing-for-business
autodesk certified professional: autocad for design and drafting exam prep,autodesk,autodesk-autocad-design-drafting
introduction to typography,california institute of the arts,typography
customer segmentation and prospecting,northwestern university,customer-segmentation-prospecting
claves para gestionar personas,iese business school,gestionar-personas
english for journalism,university of pennsylvania,journalism
how things work: an introduction to physics,university of virginia,how-things-work
business english: networking,university of washington,business-english-intro
summary statistics in public health,johns hopkins university,summary-statistics
the changing global order,universiteit leiden,changing-global-order
global energy and climate policy,university of london,globalenergyandclimatepolicy
el abogado del futuro: legaltech y la transformación digital del derecho,universidad austral,legaltech
probability and statistics: to p or not to p?,university of london,probability-statistics
gut check: exploring your microbiome,university of colorado boulder,microbiome
econometrics: methods and applications,erasmus university rotterdam,erasmus-econometrics
разработка веб-сервисов на go - основы языка,moscow institute of physics and technology,golang-webservices-1
mastering data analysis in excel,duke university,analytics-excel
basic statistics,university of amsterdam,basic-statistics
"capstone: retrieving, processing, and visualizing data with python",university of michigan,python-data-visualization
design thinking for the greater good: innovation in the social sector,university of virginia,uva-darden-design-thinking-social-sector
introduction to portfolio construction and analysis with python,edhec business school,introduction-portfolio-construction-python
data analytics for lean six sigma,university of amsterdam,data-analytics-for-lean-six-sigma
refugees in the 21st century,university of london,refugees-21st-century
building containerized applications on aws,amazon web services,containerized-apps-on-aws
business transformation with google cloud,google cloud,business-transformation-google-cloud
version control with git,atlassian,version-control-with-git
"transmedia storytelling: narrative worlds, emerging technologies, and global audiences",unsw sydney (the university of new south wales),transmedia-storytelling
excel aplicado a los negocios (nivel avanzado),universidad austral,excel-aplicado-negocios-avanzado
introduction to public speaking,university of washington,public-speaking
building conversational experiences with dialogflow,google cloud,conversational-experiences-dialogflow
guitar for beginners,berklee college of music,guitar
managing project risks and changes,"university of california, irvine",project-risk-management
l'excellence opérationnelle en pratique,essec business school,excellence-operationnelle
introduction to cloud computing,ibm,introduction-to-cloud
sample-based learning methods,alberta machine intelligence institute,sample-based-learning-methods
functional programming principles in scala,école polytechnique fédérale de lausanne,progfun1
introduction to blockchain technologies,insead,introduction-blockchain-technologies
introduction to environmental law and policy,the university of north carolina at chapel hill,environmental-law
"cameras, exposure, and photography",michigan state university,exposure-photography
democracia y decisiones públicas. introducción al análisis de políticas públicas,universitat autònoma de barcelona,democracia
dentistry 101,university of michigan,dentistry101
"python functions, files, and dictionaries",university of michigan,python-functions-files-dictionaries
anticorrupción: introducción a conceptos y perspectiva práctica,universidad nacional autónoma de méxico,anticorrupcion-introduccion
positive psychology: applications and interventions,university of pennsylvania,positive-psychology-applications
